Tower__r:Tower_Code__c,Floor__c,Unit_Number__c,Unit_Type_Class__c,Configuration__c,Carpet_Area_sqft__c,BuiltUp_Area_sqft__c,Super_BuiltUp_Area_sqft__c,Facing__c,Corner_Unit__c,Park_Facing__c,BSP_Per_Sqft__c,Unit_Status__c
AUR-T03,2,1,Residential,3BHK,1500,1800,2000,North-East,true,true,16050,Available
AUR-T03,2,2,Residential,3BHK,1500,1800,2000,South-East,false,false,15225,Available
AUR-T03,2,3,Residential,3BHK,1500,1800,2000,North-West,false,false,15225,Booked
AUR-T03,2,4,Residential,3BHK,1500,1800,2000,South-West,true,false,15675,Available
AUR-T03,3,1,Residential,3BHK,1500,1800,2000,South-East,true,false,15900,Blocked
AUR-T03,3,2,Residential,3BHK,1500,1800,2000,North-West,false,false,15450,Available
AUR-T03,3,3,Residential,3BHK,1500,1800,2000,South-West,false,false,15450,Available
AUR-T03,3,4,Residential,3BHK,1500,1800,2000,East,true,true,16275,Available
AUR-T03,4,1,Residential,3BHK,1500,1800,2000,North-West,true,false,16125,Available
AUR-T03,4,2,Residential,3BHK,1500,1800,2000,South-West,false,false,15675,Available
AUR-T03,4,3,Residential,3BHK,1500,1800,2000,East,false,true,16050,Available
AUR-T03,4,4,Residential,3BHK,1500,1800,2000,West,true,false,16125,Available
SRN-T01,1,1,Residential,1BHK,550,660,750,South-East,true,false,7725,Available
SRN-T01,1,2,Residential,2BHK,850,1020,1150,North-West,false,false,7500,Available
SRN-T01,1,3,Residential,1BHK,550,660,750,South-West,false,false,7500,Booked
SRN-T01,1,4,Residential,2BHK,850,1020,1150,East,true,false,7725,Available
SRN-T01,2,1,Residential,1BHK,550,660,750,North-West,true,false,7838,Booked
SRN-T01,2,2,Residential,2BHK,850,1020,1150,South-West,false,false,7612,Booked
SRN-T01,2,3,Residential,1BHK,550,660,750,East,false,true,7800,Available
SRN-T01,2,4,Residential,2BHK,850,1020,1150,West,true,false,7838,Booked
SRN-T01,3,1,Residential,1BHK,550,660,750,South-West,true,false,7950,Available
SRN-T01,3,2,Residential,2BHK,850,1020,1150,East,false,true,7912,Available
SRN-T01,3,3,Residential,1BHK,550,660,750,West,false,false,7725,Available
SRN-T01,3,4,Residential,2BHK,850,1020,1150,North,true,true,8138,Available
SRN-T01,4,1,Residential,1BHK,550,660,750,East,true,true,8250,Available
SRN-T01,4,2,Residential,2BHK,850,1020,1150,West,false,false,7838,Available
SRN-T01,4,3,Residential,1BHK,550,660,750,North,false,true,8025,Booked
SRN-T01,4,4,Residential,2BHK,850,1020,1150,South,true,false,8062,Available
SRN-T02,1,1,Residential,1BHK,550,660,750,East,true,false,7725,Available
SRN-T02,1,2,Residential,2BHK,850,1020,1150,West,false,false,7500,Available
SRN-T02,1,3,Residential,1BHK,550,660,750,North,false,false,7500,Booked
SRN-T02,1,4,Residential,2BHK,850,1020,1150,South,true,false,7725,Available
SRN-T02,2,1,Residential,1BHK,550,660,750,West,true,false,7838,Available
SRN-T02,2,2,Residential,2BHK,850,1020,1150,North,false,true,7800,Available
SRN-T02,2,3,Residential,1BHK,550,660,750,South,false,false,7612,Available
SRN-T02,2,4,Residential,2BHK,850,1020,1150,North-East,true,true,8025,Blocked
SRN-T02,3,1,Residential,1BHK,550,660,750,North,true,true,8138,Blocked
SRN-T02,3,2,Residential,2BHK,850,1020,1150,South,false,false,7725,Available
SRN-T02,3,3,Residential,1BHK,550,660,750,North-East,false,true,7912,Available
SRN-T02,3,4,Residential,2BHK,850,1020,1150,South-East,true,false,7950,Available
SRN-T02,4,1,Residential,1BHK,550,660,750,South,true,false,8062,Available
SRN-T02,4,2,Residential,2BHK,850,1020,1150,North-East,false,true,8025,Available
SRN-T02,4,3,Residential,1BHK,550,660,750,South-East,false,false,7838,Available
SRN-T02,4,4,Residential,2BHK,850,1020,1150,North-West,true,false,8062,Available
SRN-T03,1,1,Residential,1BHK,550,660,750,South,true,false,7725,Available
SRN-T03,1,2,Residential,2BHK,850,1020,1150,North-East,false,false,7500,Available
SRN-T03,1,3,Residential,1BHK,550,660,750,South-East,false,false,7500,Available
SRN-T03,1,4,Residential,2BHK,850,1020,1150,North-West,true,false,7725,Available
SRN-T03,2,1,Residential,1BHK,550,660,750,North-East,true,true,8025,Available
SRN-T03,2,2,Residential,2BHK,850,1020,1150,South-East,false,false,7612,Booked
SRN-T03,2,3,Residential,1BHK,550,660,750,North-West,false,false,7612,Available
SRN-T03,2,4,Residential,2BHK,850,1020,1150,South-West,true,false,7838,Booked
SRN-T03,3,1,Residential,1BHK,550,660,750,South-East,true,false,7950,Available
SRN-T03,3,2,Residential,2BHK,850,1020,1150,North-West,false,false,7725,Available
SRN-T03,3,3,Residential,1BHK,550,660,750,South-West,false,false,7725,Available
SRN-T03,3,4,Residential,2BHK,850,1020,1150,East,true,true,8138,Available
SRN-T03,4,1,Residential,1BHK,550,660,750,North-West,true,false,8062,Booked
SRN-T03,4,2,Residential,2BHK,850,1020,1150,South-West,false,false,7838,Available
SRN-T03,4,3,Residential,1BHK,550,660,750,East,false,true,8025,Available
SRN-T03,4,4,Residential,2BHK,850,1020,1150,West,true,false,8062,Booked
CSM-T01,1,1,Residential,2BHK,900,1080,1200,South-East,true,false,6695,Booked
CSM-T01,1,2,Residential,2BHK,900,1080,1200,North-West,false,false,6500,Available
CSM-T01,1,3,Residential,2BHK,900,1080,1200,South-West,false,false,6500,Available
CSM-T01,1,4,Residential,2BHK,900,1080,1200,East,true,false,6695,Available
CSM-T01,2,1,Residential,2BHK,900,1080,1200,North-West,true,false,6792,Available
CSM-T01,2,2,Residential,2BHK,900,1080,1200,South-West,false,false,6597,Available
CSM-T01,2,3,Residential,2BHK,900,1080,1200,East,false,true,6760,Available
CSM-T01,2,4,Residential,2BHK,900,1080,1200,West,true,false,6792,Available
CSM-T01,3,1,Residential,2BHK,900,1080,1200,South-West,true,false,6890,Available
CSM-T01,3,2,Residential,2BHK,900,1080,1200,East,false,true,6857,Available
CSM-T01,3,3,Residential,2BHK,900,1080,1200,West,false,false,6695,Available
CSM-T01,3,4,Residential,2BHK,900,1080,1200,North,true,true,7052,Available
CSM-T01,4,1,Residential,2BHK,900,1080,1200,East,true,true,7150,Available
CSM-T01,4,2,Residential,2BHK,900,1080,1200,West,false,false,6792,Booked
CSM-T01,4,3,Residential,2BHK,900,1080,1200,North,false,true,6955,Available
CSM-T01,4,4,Residential,2BHK,900,1080,1200,South,true,false,6988,Booked
CSM-T02,1,1,Residential,2BHK,900,1080,1200,East,true,false,6695,Available
CSM-T02,1,2,Residential,2BHK,900,1080,1200,West,false,false,6500,Available
CSM-T02,1,3,Residential,2BHK,900,1080,1200,North,false,false,6500,Available
CSM-T02,1,4,Residential,2BHK,900,1080,1200,South,true,false,6695,Available
CSM-T02,2,1,Residential,2BHK,900,1080,1200,West,true,false,6792,Available
CSM-T02,2,2,Residential,2BHK,900,1080,1200,North,false,true,6760,Available
CSM-T02,2,3,Residential,2BHK,900,1080,1200,South,false,false,6597,Available
CSM-T02,2,4,Residential,2BHK,900,1080,1200,North-East,true,true,6955,Available
CSM-T02,3,1,Residential,2BHK,900,1080,1200,North,true,true,7052,Available
CSM-T02,3,2,Residential,2BHK,900,1080,1200,South,false,false,6695,Available
CSM-T02,3,3,Residential,2BHK,900,1080,1200,North-East,false,true,6857,Available
CSM-T02,3,4,Residential,2BHK,900,1080,1200,South-East,true,false,6890,Available
CSM-T02,4,1,Residential,2BHK,900,1080,1200,South,true,false,6988,Available
CSM-T02,4,2,Residential,2BHK,900,1080,1200,North-East,false,true,6955,Available
CSM-T02,4,3,Residential,2BHK,900,1080,1200,South-East,false,false,6792,Available
CSM-T02,4,4,Residential,2BHK,900,1080,1200,North-West,true,false,6988,Blocked
CSM-T03,1,1,Residential,2BHK,900,1080,1200,South,true,false,6695,Available
CSM-T03,1,2,Residential,2BHK,900,1080,1200,North-East,false,false,6500,Available
CSM-T03,1,3,Residential,2BHK,900,1080,1200,South-East,false,false,6500,Available
CSM-T03,1,4,Residential,2BHK,900,1080,1200,North-West,true,false,6695,Available
CSM-T03,2,1,Residential,2BHK,900,1080,1200,North-East,true,true,6955,Available
CSM-T03,2,2,Residential,2BHK,900,1080,1200,South-East,false,false,6597,Available
CSM-T03,2,3,Residential,2BHK,900,1080,1200,North-West,false,false,6597,Available
CSM-T03,2,4,Residential,2BHK,900,1080,1200,South-West,true,false,6792,Available
CSM-T03,3,1,Residential,2BHK,900,1080,1200,South-East,true,false,6890,Available
CSM-T03,3,2,Residential,2BHK,900,1080,1200,North-West,false,false,6695,Available
CSM-T03,3,3,Residential,2BHK,900,1080,1200,South-West,false,false,6695,Available
CSM-T03,3,4,Residential,2BHK,900,1080,1200,East,true,true,7052,Available
CSM-T03,4,1,Residential,2BHK,900,1080,1200,North-West,true,false,6988,Available
CSM-T03,4,2,Residential,2BHK,900,1080,1200,South-West,false,false,6792,Available
CSM-T03,4,3,Residential,2BHK,900,1080,1200,East,false,true,6955,Available
CSM-T03,4,4,Residential,2BHK,900,1080,1200,West,true,false,6988,Blocked
MRD-T01,1,1,Residential,2BHK,950,1140,1250,South-East,true,false,9270,Available
MRD-T01,1,2,Residential,3BHK,1350,1620,1800,North-West,false,false,9000,Booked
MRD-T01,1,3,Residential,2BHK,950,1140,1250,South-West,false,false,9000,Available
MRD-T01,1,4,Residential,3BHK,1350,1620,1800,East,true,false,9270,Available
MRD-T01,2,1,Residential,2BHK,950,1140,1250,North-West,true,false,9405,Available
MRD-T01,2,2,Residential,3BHK,1350,1620,1800,South-West,false,false,9135,Available
MRD-T01,2,3,Residential,2BHK,950,1140,1250,East,false,true,9360,Available
MRD-T01,2,4,Residential,3BHK,1350,1620,1800,West,true,false,9405,Booked
MRD-T01,3,1,Residential,2BHK,950,1140,1250,South-West,true,false,9540,Available
MRD-T01,3,2,Residential,3BHK,1350,1620,1800,East,false,true,9495,Available
MRD-T01,3,3,Residential,2BHK,950,1140,1250,West,false,false,9270,Available
MRD-T01,3,4,Residential,3BHK,1350,1620,1800,North,true,true,9765,Booked
MRD-T01,4,1,Residential,2BHK,950,1140,1250,East,true,true,9900,Available
MRD-T01,4,2,Residential,3BHK,1350,1620,1800,West,false,false,9405,Available
MRD-T01,4,3,Residential,2BHK,950,1140,1250,North,false,true,9630,Available
MRD-T01,4,4,Residential,3BHK,1350,1620,1800,South,true,false,9675,Available
MRD-T02,1,1,Residential,2BHK,950,1140,1250,East,true,false,9270,Booked
MRD-T02,1,2,Residential,3BHK,1350,1620,1800,West,false,false,9000,Blocked
MRD-T02,1,3,Residential,2BHK,950,1140,1250,North,false,false,9000,Available
MRD-T02,1,4,Residential,3BHK,1350,1620,1800,South,true,false,9270,Available
MRD-T02,2,1,Residential,2BHK,950,1140,1250,West,true,false,9405,Booked
MRD-T02,2,2,Residential,3BHK,1350,1620,1800,North,false,true,9360,Available
MRD-T02,2,3,Residential,2BHK,950,1140,1250,South,false,false,9135,Available
MRD-T02,2,4,Residential,3BHK,1350,1620,1800,North-East,true,true,9630,Available
MRD-T02,3,1,Residential,2BHK,950,1140,1250,North,true,true,9765,Available
MRD-T02,3,2,Residential,3BHK,1350,1620,1800,South,false,false,9270,Available
MRD-T02,3,3,Residential,2BHK,950,1140,1250,North-East,false,true,9495,Booked
MRD-T02,3,4,Residential,3BHK,1350,1620,1800,South-East,true,false,9540,Booked
MRD-T02,4,1,Residential,2BHK,950,1140,1250,South,true,false,9675,Available
MRD-T02,4,2,Residential,3BHK,1350,1620,1800,North-East,false,true,9630,Available
MRD-T02,4,3,Residential,2BHK,950,1140,1250,South-East,false,false,9405,Available
MRD-T02,4,4,Residential,3BHK,1350,1620,1800,North-West,true,false,9675,Available
MRD-T03,1,1,Residential,2BHK,950,1140,1250,South,true,false,9270,Available
MRD-T03,1,2,Residential,3BHK,1350,1620,1800,North-East,false,false,9000,Booked
MRD-T03,1,3,Residential,2BHK,950,1140,1250,South-East,false,false,9000,Available
MRD-T03,1,4,Residential,3BHK,1350,1620,1800,North-West,true,false,9270,Available
MRD-T03,2,1,Residential,2BHK,950,1140,1250,North-East,true,true,9630,Available
MRD-T03,2,2,Residential,3BHK,1350,1620,1800,South-East,false,false,9135,Blocked
MRD-T03,2,3,Residential,2BHK,950,1140,1250,North-West,false,false,9135,Available
MRD-T03,2,4,Residential,3BHK,1350,1620,1800,South-West,true,false,9405,Available
MRD-T03,3,1,Residential,2BHK,950,1140,1250,South-East,true,false,9540,Available
MRD-T03,3,2,Residential,3BHK,1350,1620,1800,North-West,false,false,9270,Available
MRD-T03,3,3,Residential,2BHK,950,1140,1250,South-West,false,false,9270,Available
MRD-T03,3,4,Residential,3BHK,1350,1620,1800,East,true,true,9765,Booked
MRD-T03,4,1,Residential,2BHK,950,1140,1250,North-West,true,false,9675,Available
MRD-T03,4,2,Residential,3BHK,1350,1620,1800,South-West,false,false,9405,Available
MRD-T03,4,3,Residential,2BHK,950,1140,1250,East,false,true,9630,Available
MRD-T03,4,4,Residential,3BHK,1350,1620,1800,West,true,false,9675,Available
